,"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_dema_8(up_ratio_24), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))","ta_rocp_14(ts_max_20(ta_atr_25(up_ratio_24, trend_slope_72, c_ta_tsf_5)))",ts_mean_return_10(ts_argmax_20(ts_min_5(ori_ta_macd))),"ts_lag_3(ts_argmin_20(ta_lr_intercept_5(mul(trend_slope_72, ori_ta_macd))))","ta_minus_di_14(ta_mom_25(ta_aroonosc_25(obv_lr_slope_20, ori_trix_55)), ts_kurt_20(ta_rocr_25(vol_ccy)), ts_delta_8(ta_trix_21(up_ratio_24)))",ta_trima_21(ta_mom_12(ta_tsf_5(h_ta_lr_angle_10))),ta_lr_slope_20(ta_trima_21(ts_range_20(TA_HT_DCPHASE(donchian_pos_50)))),"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_dema_8(neg(l)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))","ts_kurt_10(ts_std_10(div(ta_mfi_25(ori_trix_21, vol_ccy, ori_ta_macd, v_trix_8_obv), ori_trix_21)))","TA_SAR(close_macd, ta_dema_55(vol))","TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_cmo_14(ta_dx_14(donchian_pos_200, vol_ccy, trend_slope_24)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",ta_lr_slope_20(ta_trima_8(ori_ta_macd))
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_dema_8(up_ratio_24), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",1.0,-0.01133402480055667,0.011927464578416733,0.021364980574157654,0.016071060288646008,-0.03682369093752641,-0.0037417562773272676,0.3792838247853924,-0.0007029546683710371,0.0038463086736412926,0.6782969964235654,-0.04557108806576483
"ta_rocp_14(ts_max_20(ta_atr_25(up_ratio_24, trend_slope_72, c_ta_tsf_5)))",-0.01133402480055667,1.0,0.015075200045672959,0.012447229980295809,-0.005017545944357878,-0.012576190574160078,0.01645688096878323,-0.017719562738482415,0.013571951981136846,0.05641634001520157,-0.01266762277401831,0.0005914909025751103
ts_mean_return_10(ts_argmax_20(ts_min_5(ori_ta_macd))),0.011927464578416733,0.015075200045672959,1.0,0.01207213541760251,0.028780770663427786,-0.16087098701080135,0.04736392155751418,0.00021016669471370607,-0.009294309140535442,-0.0006355979622256967,-0.001009402660617374,-0.2289878716481998
"ts_lag_3(ts_argmin_20(ta_lr_intercept_5(mul(trend_slope_72, ori_ta_macd))))",0.021364980574157654,0.012447229980295809,0.01207213541760251,1.0,0.00705467320001593,-0.0026252604066035762,-0.019551735272820878,0.0033731892771907503,-0.005724998519619806,-0.018937401153044233,0.009456307688813744,-0.03783132905988136
"ta_minus_di_14(ta_mom_25(ta_aroonosc_25(obv_lr_slope_20, ori_trix_55)), ts_kurt_20(ta_rocr_25(vol_ccy)), ts_delta_8(ta_trix_21(up_ratio_24)))",0.016071060288646008,-0.005017545944357878,0.028780770663427786,0.00705467320001593,1.0,-0.08116532204087103,0.019418203728699467,0.0061716769233262515,-0.0032158684906662374,-0.021121197161764603,-0.00685022369037264,-0.1014281567021592
ta_trima_21(ta_mom_12(ta_tsf_5(h_ta_lr_angle_10))),-0.03682369093752641,-0.012576190574160078,-0.16087098701080135,-0.0026252604066035762,-0.08116532204087103,1.0,-0.13934768319286006,-0.00845318307686553,0.007921501867157232,-0.012157918266950016,0.004241345811180406,0.5932580022501583
ta_lr_slope_20(ta_trima_21(ts_range_20(TA_HT_DCPHASE(donchian_pos_50)))),-0.0037417562773272676,0.01645688096878323,0.04736392155751418,-0.019551735272820878,0.019418203728699467,-0.13934768319286006,1.0,-0.01411977168902108,0.0034882089250710775,0.01908463573013131,-0.013144769482429262,-0.20714743079357478
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_dema_8(neg(l)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",0.3792838247853924,-0.017719562738482415,0.00021016669471370607,0.0033731892771907503,0.0061716769233262515,-0.00845318307686553,-0.01411977168902108,1.0,-0.032046110539112015,0.038100015972862736,0.5959373601724726,0.022506397198399895
"ts_kurt_10(ts_std_10(div(ta_mfi_25(ori_trix_21, vol_ccy, ori_ta_macd, v_trix_8_obv), ori_trix_21)))",-0.0007029546683710371,0.013571951981136846,-0.009294309140535442,-0.005724998519619806,-0.0032158684906662374,0.007921501867157232,0.0034882089250710775,-0.032046110539112015,1.0,-0.007634624825455596,-0.024961065482584255,0.01097203593132004
"TA_SAR(close_macd, ta_dema_55(vol))",0.0038463086736412926,0.05641634001520157,-0.0006355979622256967,-0.018937401153044233,-0.021121197161764603,-0.012157918266950016,0.01908463573013131,0.038100015972862736,-0.007634624825455596,1.0,0.0004919615323529708,0.00573922965073972
