factor,horizon,IC,RankIC
"TA_SAR(close_macd, ta_dema_55(vol))",2,0.009967267443990603,0.006435301122561135
"TA_SAR(close_macd, ta_dema_55(vol))",4,0.01552331277158829,0.005575910363634236
"TA_SAR(close_macd, ta_dema_55(vol))",6,0.018714353187273085,0.002958778342377496
"TA_SAR(close_macd, ta_dema_55(vol))",8,0.02134644772252632,0.004942433510280406
"TA_SAR(close_macd, ta_dema_55(vol))",10,0.022665395529138675,0.005465407426581158
"TA_SAR(close_macd, ta_dema_55(vol))",12,0.021878470047785974,0.0015705271735536933
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_cmo_14(ta_dx_14(donchian_pos_200, vol_ccy, trend_slope_24)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",2,0.019474434029303333,0.002307825012038988
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_cmo_14(ta_dx_14(donchian_pos_200, vol_ccy, trend_slope_24)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",4,0.027578707162314794,-0.00018270493779118434
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_cmo_14(ta_dx_14(donchian_pos_200, vol_ccy, trend_slope_24)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",6,0.03281286294467814,-0.00011990786707536401
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_cmo_14(ta_dx_14(donchian_pos_200, vol_ccy, trend_slope_24)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",8,0.03544651029984942,-0.0009991480077497553
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_cmo_14(ta_dx_14(donchian_pos_200, vol_ccy, trend_slope_24)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",10,0.036701575927551036,-0.00403640079570957
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_cmo_14(ta_dx_14(donchian_pos_200, vol_ccy, trend_slope_24)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",12,0.03754963025249443,-0.004556740425356607
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_dema_8(neg(l)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",2,0.016282462869941353,0.006158487369034452
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_dema_8(neg(l)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",4,0.022609542045618807,0.0051135821019260555
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_dema_8(neg(l)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",6,0.026803263200166943,0.0062598522736413255
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_dema_8(neg(l)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",8,0.028914905883762568,0.0076975353902451775
